names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
MCD,101787521.1,106006176.6,106149682.7,114288247.3,122985912.3,124836121.2,126449959.8,129575220.1,126910330.0,135196599.3,137092076.4,137211654.3,136430412.0,125324114.5,124243597.2,131622574.7,125636171.8,123029384.1,123696784.6,125858034.0,129783582.0,137239020.0,145324244.1,136890488.7,137823289.8,140695877.3,145333698.3,150843509.6,151390248.1,158560039.0,160896520.3,165536008.7,163060221.2,149382634.8,146461526.6,148818707.7,161139309.2,144743444.0,123259661.5,139453673.4,138539353.9,137163775.3,144458059.7,158880872.6,163323167.5,158493939.0,162016935.8,159885918.4,154863870.2,153692212.1,167112508.1,176138579.8,174522636.9,172358732.3,181103891.5,177334890.5,180060706.9,183376494.5,182776127.0,200313967.2
JPM,302828482.3,324262283.7,313761229.9,309533646.0,291862848.6,324726285.6,323040895.2,319838638.0,336096251.6,354042968.0,362655761.5,371052498.4,401343206.4,396391149.0,375042897.7,370985487.6,364345186.8,354777763.4,391379116.2,385090088.7,379242150.6,366403573.7,369752449.1,324626621.8,344180038.5,341699895.1,331451517.7,376914733.3,343731379.1,362676181.4,376300868.0,351275702.1,376312009.7,399429826.2,413263263.6,437226009.0,415145154.6,356919469.5,276750149.3,291736383.1,296505808.1,286602983.4,294464302.7,305339444.8,293392837.1,298787096.2,359322169.6,387335155.2,392212280.0,449090138.0,464530758.4,466368531.5,497175502.7,470870597.1,459487843.8,477955392.3,489131092.0,507657653.0,469384898.8,467966371.1
DHR,58047631.84,59310104.0,59296238.4,57841019.6,58958552.8,58576786.8,56610288.1,57951039.8,59590508.2,64183473.35,65637287.8,64566056.1,70551648.0,68208296.82,68384554.13,70080843.36,69354327.44,68935183.64,71780867.9,72452632.7,76035378.3,69669758.2,76776914.62,72277117.36,77810380.0,90640201.8,94485921.88,94818298.96,94510447.34,102321287.3,100790204.0,101930819.1,103609460.2,98993487.42,104854660.4,110241767.9,111885085.0,100661945.5,96457236.95,113914456.7,117796602.2,125022346.6,144577554.2,146471676.2,152757040.0,163059936.6,159571985.5,157803146.8,169104240.0,156449852.7,160497120.4,181130069.3,182699283.1,191415552.4,212378111.0,231417824.0,217339716.0,222783671.3,229836546.3,235102978.8
LLY,85037114.44,91368579.12,92803104.94,90541229.24,87796662.73,90808914.7,91007750.74,89499395.81,94178599.06,90223724.3,93196680.8,92998483.7,89684187.75,84382957.96,84542199.0,87995810.1,92304967.2,92619741.9,106120754.3,113466832.2,115249652.3,116463258.7,125677962.1,122584741.8,126970334.9,130763065.5,134407873.4,121232255.8,112558146.1,107558366.5,105772037.5,109064966.0,107964372.4,109406927.5,112671372.9,126190017.3,134072692.8,120628461.7,132760311.4,147996356.3,146378962.1,157126498.8,143747876.3,141930583.3,141576689.4,124795687.7,139326168.3,161509304.9,198940358.5,196371903.1,179053145.3,175171520.0,191555653.5,220115418.0,233522587.5,247075306.5,221018040.1,243701377.9,237273079.7,264229842.2
WMT,205104700.6,217981366.7,218619288.7,227912380.1,238280301.6,228137284.3,241129775.0,233210860.1,233419964.3,260812606.6,290445650.5,292535123.8,315789814.6,266643913.8,263563037.6,261176292.3,243697616.7,252739788.6,263303810.1,282867905.8,275037503.9,293693545.8,283698639.0,270624969.0,278411065.8,287591687.4,279880280.5,294855135.0,290841160.0,315418233.8,315104214.4,326180535.7,337559625.1,333520741.8,338725781.6,337169877.0,324828165.8,305507004.0,321803312.7,344436478.1,351549070.1,339211330.3,366454718.2,393216674.1,396470382.2,393183228.8,432969120.9,407841576.9,397486390.1,367580837.1,382642889.8,393634266.6,399598848.5,395158628.9,399445912.3,414997822.6,388660851.2,416657371.2,392146473.7,401352407.8
INTC,174158600.0,171153600.0,169853630.0,170230350.0,170041990.0,158544260.0,166673530.0,164793930.0,178214400.0,212893200.0,209851200.0,216351920.0,225632180.0,230085720.0,242692800.0,240549200.0,257232000.0,229212810.0,221789100.0,223310730.0,215831560.0,213960320.0,225050840.0,214188520.0,211898640.0,238161120.0,240414900.0,228506080.0,197167080.0,212064100.0,223936500.0,210026300.0,224155500.0,245905500.0,252517500.0,256756500.0,273428610.0,237459040.0,229144080.0,256534460.0,269151610.0,254456990.0,202995690.0,216690350.0,212194440.0,181459440.0,198138300.0,202368840.0,225537130.0,246949140.0,258432000.0,232306140.0,230650560.0,227759980.0,217942040.0,219321420.0,216689760.0,199283000.0,200096400.0,209605000.0
BAC,227591452.6,247420011.0,236181735.4,232797594.6,223022056.6,241433069.7,237595989.6,252039500.0,267337000.0,285694517.5,293830396.4,307911725.3,329193664.0,328822416.9,306618449.8,303369471.7,294446840.2,285828389.3,308437160.0,308936572.5,294253845.0,269890417.5,278723194.8,241821814.1,275284572.4,280876740.8,265938547.7,290760847.7,252918199.8,275737887.0,285578674.7,256071360.5,271523140.2,281276995.9,299716965.2,316807668.5,290090771.7,248763105.0,185306691.9,208645462.4,209255737.3,206045761.3,215562758.2,223013882.5,208718120.8,205339122.6,243606246.4,262205444.9,256496635.1,299657886.1,334017966.3,348141797.4,363253390.0,353312981.1,325567112.4,351322242.0,357212674.8,402064113.1,363946215.5,364109897.2
AMD,9695950.0,13612629.54,13706100.0,12528600.0,10574729.04,11818560.0,12885662.19,12308127.0,12303750.0,10598317.02,10506661.11,9940760.0,13286580.0,11735922.1,9738450.0,10546462.72,13309093.12,14615250.0,17869403.76,24537528.24,30859110.0,18199201.47,21287369.1,18552300.0,24532050.0,23654685.47,27601513.28,29884608.0,29646656.0,32981820.0,33054875.7,34140421.7,32294860.0,37785398.04,43598536.2,53656200.0,54974114.0,53196227.76,53257080.0,61358644.1,63010022.0,61764140.0,90907233.51,106627856.7,98551980.0,90552186.48,111443293.9,111060810.0,103737873.0,102369075.8,95377500.0,99170014.02,97298881.68,113937090.0,128804753.4,134299484.8,124714800.0,145190950.3,191249195.7,173687300.0
TMO,60197859.75,61556852.88,59964057.6,64679575.95,67598903.8,68256153.4,68477763.6,74894737.98,75719164.4,77572122.81,77295796.2,76140930.6,89866989.45,83804106.72,82952324.64,84628222.35,83791811.21,83337186.22,94356813.19,96308523.6,98314447.68,94113285.4,100462840.8,90092483.04,98900845.92,104496652.3,109215374.9,110970566.7,106786927.4,117466420.1,111066724.1,114960640.6,116646644.5,120935742.5,125891124.5,130269946.2,125586371.3,115979182.4,113107620.8,132182200.7,137912939.7,143106545.3,163754066.6,169699769.2,174660455.3,187514015.2,184287848.3,184604916.3,202011949.5,177238353.4,179719249.3,184808383.9,184526646.0,198270835.2,212239050.3,218327874.1,224772077.3,249061766.3,249365395.8,262924587.5
VZ,199795832.3,202328209.2,198740685.0,187283830.8,190261770.2,182184619.5,197443347.2,195689201.8,201889901.9,195282840.7,207602752.5,215924812.1,220551530.0,194754661.6,197399238.5,203914200.0,196967530.0,207875738.1,213373175.0,224653360.3,220604063.0,235896736.4,249160504.5,232301883.3,227507920.0,235196058.3,244206900.0,236521083.3,224775675.5,236272940.9,228580525.9,240549760.0,249648960.0,250090858.5,249139628.2,253937137.6,245843840.0,223998394.2,222442200.0,237727812.8,237438153.1,228127664.4,237855343.9,245262460.6,246172832.5,235829977.1,249982258.5,243113022.5,226555500.0,228839639.7,240741000.0,239254529.7,233872441.3,231968010.0,230935670.5,227706380.0,223607665.2,219387290.4,208126044.3,215122921.4
