names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
MCD,0.00698,0.04915,0.01535,0.07962,0.07832,0.02131,0.01293,0.03721,-0.02057,0.06529,0.03637,0.00087,-0.00569,-0.0724,-0.00862,0.07073,-0.04437,-0.01453,0.00542,0.03618,0.03119,0.05745,0.07219,-0.05803,0.00681,0.03479,0.03296,0.04039,0.00941,0.04736,0.01474,0.03991,-0.01496,-0.08388,-0.00493,0.01609,0.08279,-0.08669,-0.14843,0.13432,5e-05,-0.00993,0.05318,0.10547,0.02796,-0.02957,0.0269,-0.01315,-0.03141,-0.00197,0.08732,0.05327,-0.00381,-0.0124,0.05074,-0.01632,0.01537,0.01841,0.00175,0.09595
JPM,-0.01382,0.07078,-0.03068,-0.00389,-0.05575,0.1126,0.00979,-0.00991,0.05083,0.05947,0.03886,0.02315,0.08719,-0.00147,-0.04788,-0.00587,-0.01627,-0.02626,0.10912,-0.00322,-0.01519,-0.02715,0.0199,-0.12204,0.06897,0.00831,-0.02999,0.15509,-0.08695,0.05512,0.04492,-0.05293,0.07127,0.06995,0.05476,0.05798,-0.04432,-0.12277,-0.22461,0.07503,0.01619,-0.0334,0.03741,0.03673,-0.03913,0.02764,0.20237,0.07796,0.01984,0.14378,0.03438,0.0163,0.06781,-0.05297,-0.01855,0.05383,0.02338,0.04403,-0.0651,-0.00302
DHR,0.07811,0.01942,0.0014,-0.02572,0.01932,-0.00483,-0.03436,0.02368,0.02998,0.07566,0.02265,-0.01485,0.09114,-0.03456,0.00299,0.02461,-0.01037,-0.00443,0.03952,0.00936,0.051,-0.08522,0.10201,-0.05712,0.07564,0.14515,0.04072,0.00318,-0.00325,0.08394,-0.01693,0.01132,0.01768,-0.04577,0.05921,0.05255,0.04815,-0.10126,-0.04143,0.18098,0.01927,0.06245,0.15252,0.0131,0.04382,0.06599,-0.02139,-0.01028,0.07068,-0.0764,0.02561,0.12822,0.00866,0.04853,0.10855,0.08965,-0.06019,0.02408,0.03166,0.02357
LLY,0.04731,0.08222,0.0157,-0.02437,-0.02406,0.03431,0.00437,-0.01027,0.05228,-0.04209,0.03946,-0.00213,-0.03564,-0.04748,0.00454,0.04782,0.05624,0.00341,0.15797,0.07509,0.01571,0.01053,0.09967,-0.02461,0.03578,0.05927,0.02748,-0.09803,-0.00392,-0.04442,-0.01661,0.04296,-0.01009,0.01896,0.0358,0.11998,0.06247,-0.09204,0.09982,0.11476,-0.00631,0.07342,-0.0846,-0.00779,-0.00249,-0.11863,0.12229,0.15922,0.23176,-0.01068,-0.08819,-0.02168,0.09761,0.14909,0.06091,0.06416,-0.10546,0.10262,-0.02319,0.11361
WMT,-0.03443,0.06278,0.02364,0.04301,0.05244,-0.03715,0.05695,-0.0179,0.0009,0.11735,0.11362,0.02099,0.07949,-0.15563,-0.00571,-0.00573,-0.06106,0.03768,0.0418,0.08058,-0.02034,0.06783,-0.02623,-0.04085,0.02877,0.03298,-0.00943,0.05444,-0.00836,0.08922,-0.001,0.04021,0.03868,-0.01196,0.01561,0.00236,-0.0366,-0.05948,0.05993,0.06979,0.02517,-0.0345,0.08031,0.07742,0.00763,-0.00829,0.10119,-0.05308,-0.02539,-0.07524,0.04991,0.03004,0.01911,-0.00711,0.01085,0.04277,-0.05888,0.07203,-0.05883,0.03296
INTC,0.01516,-0.00984,-0.00359,0.00222,0.00625,-0.06563,0.05127,-0.00389,0.08583,0.19459,-0.00854,0.02944,0.04289,0.03073,0.0566,-0.00883,0.07543,-0.09946,-0.03239,0.01299,-0.02354,-0.00867,0.05851,-0.04827,0.00405,0.13103,0.01397,-0.04953,-0.13184,0.08697,0.05598,-0.05583,0.0869,0.09703,0.0325,0.03101,0.06817,-0.12728,-0.02522,0.10828,0.05503,-0.04926,-0.20224,0.07472,0.01629,-0.14484,0.0998,0.0304,0.11421,0.10141,0.05298,-0.10109,-0.00109,-0.01716,-0.04311,0.01282,-0.01443,-0.08033,0.01102,0.04675
BAC,0.02443,0.09011,-0.04135,-0.0106,-0.03663,0.08255,-0.00577,-0.00456,0.06069,0.0809,0.03286,0.04792,0.08401,0.00313,-0.06217,-0.00233,-0.0254,-0.02927,0.09542,0.00162,-0.0429,-0.06653,0.03273,-0.12744,0.15544,0.02669,-0.05124,0.10837,-0.13015,0.09609,0.05793,-0.10332,0.06713,0.07199,0.06556,0.06277,-0.06786,-0.13189,-0.25008,0.13283,0.00291,-0.00872,0.04758,0.03457,-0.05754,-0.01619,0.18819,0.08305,-0.02177,0.17066,0.12016,0.04756,0.04589,-0.02332,-0.06961,0.08837,0.02197,0.12556,-0.06928,0.00513
AMD,-0.08554,0.39441,0.00622,-0.08591,-0.15865,0.11528,0.09054,-0.04482,-0.01923,-0.13843,-0.00865,-0.05601,0.33658,-0.11863,-0.17011,0.08259,0.26195,0.09177,0.22282,0.37316,0.22725,-0.41049,0.16969,-0.13333,0.32232,-0.03605,0.08457,0.08268,-0.00796,0.10799,0.00263,0.03284,-0.07822,0.1704,0.15385,0.17139,0.02486,-0.03234,0.0,0.15193,0.02691,-0.02212,0.47177,0.17293,-0.09723,-0.08172,0.23071,-0.01025,-0.06619,-0.01319,-0.07112,0.03975,-0.01887,0.17295,0.13052,0.04266,-0.07063,0.16842,0.31723,-0.09137
TMO,0.08001,0.03471,-0.02496,0.07637,0.04512,0.01059,0.00608,0.06614,0.0118,0.02447,-0.00552,-0.01416,0.18027,-0.0693,-0.00938,0.01884,-0.00989,-0.00464,0.13223,0.01949,0.02155,-0.04273,0.06805,-0.10257,0.09777,0.05658,0.05528,0.01363,-0.03774,0.10074,-0.05448,0.03378,0.01532,0.03677,0.03964,0.03539,-0.03595,-0.07149,-0.02404,0.18011,0.04335,0.03833,0.14244,0.03631,0.02975,0.07157,-0.0172,0.00219,0.09429,-0.11697,0.01458,0.03035,-0.00155,0.07508,0.07045,0.02767,0.02999,0.10806,-0.00038,0.05481
VZ,-0.07191,0.01265,-0.01773,-0.04703,0.0159,-0.04245,0.09812,-0.00888,0.03169,-0.02104,0.06309,0.04009,0.03322,-0.11707,0.00168,0.04497,-0.03404,0.05538,0.03837,0.05287,-0.01802,0.08102,0.05623,-0.06766,-0.01029,0.03378,0.03883,-0.02283,-0.04966,0.05115,-0.02222,0.05229,0.03783,0.01223,-0.0038,0.01926,-0.02181,-0.08883,-0.00794,0.08068,-0.00122,-0.03921,0.05451,0.03114,0.00371,-0.03187,0.06001,-0.02748,-0.05809,0.01005,0.05154,0.00464,-0.0225,-0.00814,0.00676,-0.01398,-0.018,-0.00724,-0.05133,0.03362
